filename,width,height,class,xmin,ymin,xmax,ymax
image_0001.jpg,398,164,airplane,49,28,349,136
image_0002.jpg,401,184,airplane,58,33,341,152
image_0003.jpg,393,165,airplane,48,35,331,136
image_0004.jpg,393,170,airplane,48,33,340,139
image_0004.jpg,393,170,airplane,307,50,360,111
image_0004.jpg,393,170,airplane,311,49,392,109
image_0005.jpg,395,176,airplane,49,18,339,144
image_0006.jpg,393,147,airplane,48,24,342,124
image_0007.jpg,391,148,airplane,49,24,343,122
image_0008.jpg,395,149,airplane,47,29,342,118
image_0009.jpg,392,161,airplane,53,31,342,136
image_0010.jpg,397,137,airplane,56,32,334,104
image_0011.jpg,399,162,airplane,58,34,339,129
image_0012.jpg,397,154,airplane,48,25,342,122
image_0013.jpg,392,176,airplane,50,30,344,143
image_0014.jpg,398,152,airplane,54,34,347,121
image_0015.jpg,411,199,airplane,60,43,352,163
image_0016.jpg,392,171,airplane,57,53,328,137
image_0017.jpg,399,174,airplane,60,33,346,142
image_0018.jpg,398,180,airplane,56,31,347,148
image_0019.jpg,394,175,airplane,49,31,341,147
image_0020.jpg,392,192,airplane,45,30,346,163
image_0021.jpg,391,159,airplane,46,24,346,127
image_0022.jpg,394,155,airplane,47,30,343,129
image_0023.jpg,392,145,airplane,49,22,342,121
image_0024.jpg,393,131,airplane,42,24,342,105
image_0025.jpg,397,170,airplane,55,30,341,140
image_0026.jpg,394,155,airplane,59,30,337,128
image_0027.jpg,398,152,airplane,53,26,347,125
image_0028.jpg,394,141,airplane,55,27,343,115
image_0029.jpg,398,144,airplane,54,27,347,119
image_0030.jpg,393,187,airplane,47,27,349,157
image_0031.jpg,402,236,airplane,57,40,348,196
image_0032.jpg,392,147,airplane,50,29,341,118
image_0033.jpg,392,159,airplane,49,29,345,131
image_0034.jpg,392,145,airplane,47,28,339,120
image_0035.jpg,390,161,airplane,52,27,331,125
image_0036.jpg,392,194,airplane,49,5,346,165
image_0037.jpg,393,171,airplane,52,33,344,136
image_0038.jpg,392,113,airplane,44,4,345,104
image_0039.jpg,392,177,airplane,57,18,333,146
image_0040.jpg,393,182,airplane,46,26,342,142
image_0041.jpg,392,166,airplane,44,28,335,140
image_0042.jpg,394,183,airplane,51,32,337,154
image_0043.jpg,395,162,airplane,61,37,337,129
image_0044.jpg,394,164,airplane,63,30,337,131
image_0045.jpg,396,195,airplane,45,37,328,153
image_0046.jpg,397,180,airplane,61,23,345,143
image_0047.jpg,392,190,airplane,58,24,336,149
image_0048.jpg,393,163,airplane,53,26,335,124
image_0049.jpg,399,217,airplane,57,38,346,174
image_0050.jpg,391,155,airplane,61,39,338,126
image_0051.jpg,392,205,airplane,52,33,345,173
image_0052.jpg,392,184,airplane,57,24,346,143
image_0053.jpg,392,175,airplane,49,41,344,137
image_0054.jpg,412,210,airplane,63,43,323,169
image_0055.jpg,393,143,airplane,55,26,343,115
image_0056.jpg,405,140,airplane,68,28,327,115
image_0057.jpg,392,174,airplane,46,51,324,140
image_0058.jpg,395,176,airplane,37,48,340,146
image_0059.jpg,392,210,airplane,52,3,339,180
image_0060.jpg,399,163,airplane,52,17,339,126
image_0061.jpg,392,152,airplane,51,44,336,125
image_0062.jpg,392,165,airplane,54,42,345,127
image_0063.jpg,393,160,airplane,44,31,343,121
image_0064.jpg,392,168,airplane,46,39,342,138
image_0065.jpg,393,154,airplane,49,30,347,126
image_0066.jpg,398,147,airplane,50,38,343,111
image_0067.jpg,393,180,airplane,46,27,340,150
image_0068.jpg,392,173,airplane,52,29,338,144
image_0069.jpg,392,177,airplane,57,31,392,147
image_0070.jpg,393,190,airplane,48,34,345,158
image_0071.jpg,412,191,airplane,52,39,361,152
image_0072.jpg,396,228,airplane,57,77,339,171
image_0072.jpg,396,228,airplane,248,118,396,188
image_0073.jpg,392,139,airplane,49,28,346,110
image_0074.jpg,393,127,airplane,49,29,346,98
image_0075.jpg,418,148,airplane,64,31,357,112
image_0076.jpg,392,176,airplane,45,31,341,146
image_0077.jpg,395,158,airplane,34,26,346,132
image_0078.jpg,392,192,airplane,45,23,335,157
image_0079.jpg,394,159,airplane,55,20,335,133
image_0080.jpg,392,165,airplane,44,32,344,137
image_0081.jpg,394,157,airplane,58,30,337,123
image_0082.jpg,393,178,airplane,57,37,343,138
image_0083.jpg,393,188,airplane,50,16,335,147
image_0084.jpg,406,182,airplane,59,42,350,144
image_0085.jpg,394,190,airplane,51,14,343,144
image_0086.jpg,394,142,airplane,49,30,344,109
image_0087.jpg,393,191,airplane,43,46,340,148
image_0088.jpg,416,192,airplane,60,55,354,144
image_0089.jpg,393,180,airplane,47,39,346,144
image_0090.jpg,395,195,airplane,43,33,342,163
image_0091.jpg,393,171,airplane,49,28,340,146
image_0092.jpg,402,191,airplane,53,32,343,157
image_0093.jpg,394,152,airplane,40,26,344,127
image_0094.jpg,392,138,airplane,45,23,346,108
image_0095.jpg,395,172,airplane,50,28,344,133
image_0096.jpg,392,182,airplane,52,41,327,137
image_0097.jpg,394,196,airplane,51,37,341,156
image_0098.jpg,394,206,airplane,51,17,335,163
image_0099.jpg,393,196,airplane,49,29,343,162
image_0100.jpg,393,171,airplane,46,7,341,165
image_0101.jpg,397,210,airplane,46,1,350,164
image_0102.jpg,392,133,airplane,48,27,342,106
image_0103.jpg,395,133,airplane,50,27,346,107
image_0104.jpg,393,212,airplane,53,14,345,181
image_0105.jpg,394,193,airplane,46,41,348,155
image_0106.jpg,402,180,airplane,47,31,351,151
image_0107.jpg,394,180,airplane,55,40,344,146
image_0108.jpg,392,170,airplane,54,43,346,132
image_0109.jpg,394,159,airplane,54,33,342,132
image_0110.jpg,395,176,airplane,54,15,341,137
image_0111.jpg,400,144,airplane,54,34,345,132
image_0112.jpg,395,176,airplane,62,19,339,140
image_0113.jpg,394,152,airplane,51,23,332,124
image_0114.jpg,395,191,airplane,46,40,335,157
image_0115.jpg,393,178,airplane,48,36,340,150
image_0116.jpg,394,170,airplane,52,31,341,141
image_0117.jpg,398,169,airplane,28,28,348,140
image_0118.jpg,392,165,airplane,48,26,346,129
image_0119.jpg,392,101,airplane,46,7,335,96
image_0120.jpg,403,165,airplane,42,26,350,137
image_0121.jpg,401,187,airplane,30,31,351,157
image_0122.jpg,414,176,airplane,66,37,352,137
image_0123.jpg,406,150,airplane,54,31,350,125
image_0124.jpg,402,143,airplane,47,32,348,117
image_0125.jpg,406,155,airplane,22,37,352,118
image_0126.jpg,401,153,airplane,53,33,346,116
image_0127.jpg,395,161,airplane,54,29,342,130
image_0128.jpg,405,152,airplane,58,26,351,123
image_0129.jpg,432,169,airplane,65,38,362,132
image_0130.jpg,395,149,airplane,44,29,330,117
image_0131.jpg,404,164,airplane,57,30,349,136
image_0132.jpg,398,139,airplane,34,32,343,111
